Date,Close,High,Low,Open,Volume
,AEHL,AEHL,AEHL,AEHL,AEHL
2024-01-26,71.19999694824219,78.0,70.80000305175781,74.4000015258789,413
2024-01-29,64.0,80.0,64.0,70.4000015258789,880
2024-01-30,70.4000015258789,70.80000305175781,63.599998474121094,65.19999694824219,220
2024-01-31,64.4000015258789,73.19999694824219,64.0,70.80000305175781,448
2024-02-01,62.0,68.80000305175781,62.0,64.4000015258789,265
2024-02-02,62.79999923706055,70.0,62.79999923706055,62.79999923706055,295
2024-02-05,61.20000076293945,64.4000015258789,61.20000076293945,64.0,153
2024-02-06,58.0,67.19999694824219,58.0,63.599998474121094,548
2024-02-07,58.400001525878906,60.400001525878906,56.0,58.0,680
2024-02-08,57.599998474121094,72.0,57.599998474121094,60.79999923706055,2295
2024-02-09,63.20000076293945,64.4000015258789,57.599998474121094,58.79999923706055,500
2024-02-12,63.20000076293945,64.0,57.599998474121094,63.599998474121094,828
2024-02-13,92.0,96.0,61.599998474121094,62.400001525878906,18475
2024-02-14,79.5999984741211,105.5999984741211,65.5999984741211,68.4000015258789,8665
2024-02-15,67.5999984741211,78.4000015258789,67.19999694824219,78.0,2115
2024-02-16,77.19999694824219,87.19999694824219,68.0,68.0,3400
2024-02-20,84.0,84.0,74.4000015258789,76.4000015258789,1153
2024-02-21,82.0,89.5999984741211,76.80000305175781,82.0,2425
2024-02-22,79.19999694824219,87.19999694824219,79.19999694824219,80.0,643
2024-02-23,78.0,84.0,76.4000015258789,82.4000015258789,793
2024-02-26,62.400001525878906,68.0,56.400001525878906,68.0,3753
2024-02-27,60.79999923706055,62.0,59.20000076293945,60.79999923706055,495
2024-02-28,59.20000076293945,61.599998474121094,56.79999923706055,60.79999923706055,418
2024-02-29,61.599998474121094,63.20000076293945,59.20000076293945,62.79999923706055,403
2024-03-01,61.20000076293945,62.79999923706055,58.79999923706055,61.20000076293945,575
2024-03-04,61.20000076293945,62.79999923706055,60.400001525878906,61.599998474121094,710
2024-03-05,60.79999923706055,64.0,56.400001525878906,60.0,250
2024-03-06,59.599998474121094,62.0,56.79999923706055,62.0,238
2024-03-07,62.0,65.5999984741211,59.20000076293945,63.20000076293945,728
2024-03-08,62.79999923706055,65.5999984741211,62.0,65.5999984741211,715
2024-03-11,60.0,68.4000015258789,60.0,64.0,2393
2024-03-12,58.79999923706055,62.400001525878906,56.79999923706055,62.400001525878906,538
2024-03-13,60.400001525878906,62.0,57.599998474121094,59.599998474121094,510
2024-03-14,58.79999923706055,60.400001525878906,56.79999923706055,59.599998474121094,658
2024-03-15,58.400001525878906,60.0,58.400001525878906,59.599998474121094,110
2024-03-18,60.400001525878906,62.400001525878906,58.0,62.400001525878906,623
2024-03-19,62.79999923706055,63.20000076293945,60.0,61.20000076293945,360
2024-03-20,64.80000305175781,68.4000015258789,61.20000076293945,63.599998474121094,845
2024-03-21,65.19999694824219,66.80000305175781,62.400001525878906,63.599998474121094,345
2024-03-22,67.19999694824219,70.0,64.0,66.0,1393
2024-03-25,74.0,75.5999984741211,68.0,68.4000015258789,1608
2024-03-26,73.19999694824219,77.19999694824219,70.0,77.19999694824219,503
2024-03-27,68.0,74.80000305175781,66.0,70.80000305175781,2403
2024-03-28,62.0,68.0,58.79999923706055,64.4000015258789,1790
2024-04-01,65.5999984741211,66.0,61.20000076293945,65.5999984741211,315
2024-04-02,64.0,65.5999984741211,63.20000076293945,63.20000076293945,65
2024-04-03,64.4000015258789,64.4000015258789,61.20000076293945,61.20000076293945,145
2024-04-04,61.599998474121094,66.0,61.599998474121094,66.0,180
2024-04-05,58.79999923706055,65.19999694824219,58.400001525878906,65.19999694824219,22643
2024-04-08,60.79999923706055,75.5999984741211,48.79999923706055,75.19999694824219,198920
2024-04-09,61.599998474121094,64.0,55.599998474121094,60.0,20813
